"climate_proj","species","benchmark","max","min","comp","id","functional_group","facet_lab"
"2-6","Amblyraja radiata",2025,0.346919600535908,0.00773448223890266,0.0100147778890082,"2-6-2025-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2050,0.582532630722334,0.098286725568179,0.536635600760293,"2-6-2050-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2075,0.70578978299005,0.169322483119006,0.583220615335505,"2-6-2075-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2100,0.806257173841498,0.17759058636056,0.615084968996565,"2-6-2100-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2025,0.532933288658311,0.113251697460899,0.299655686221348,"2-6-2025-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2050,0.765027804876239,0.278169742783997,0.68330347466781,"2-6-2050-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2075,0.967056193632306,0.590926290815,0.714624423163914,"2-6-2075-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2100,0.995589636375862,0.605008231505311,0.753343284455028,"2-6-2100-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2050,0.665129649642341,0.019057115905484,0.128409764852446,"2-6-2050-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2075,0.932178071611897,0.0313109589836547,0.548112976149957,"2-6-2075-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2100,0.940866081066137,0.051456359108144,0.568106472115844,"2-6-2100-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Chionoecetes opilio",2025,0.697017331491084,0.524269810466911,0.623712921326953,"2-6-2025-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2050,0.979285777515021,0.731780687958114,0.883285191499928,"2-6-2050-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2075,1,0.790858363611358,1,"2-6-2075-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2100,1,0.807624695788368,1,"2-6-2100-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Gadus morhua",2075,0.234996681191038,0.0141679725371238,0.0141679725371238,"2-6-2075-Gadus morhua","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Gadus morhua",2100,0.392856920609712,0.0186776654752773,0.0186776654752773,"2-6-2100-Gadus morhua","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Glyptocephalus cynoglossus",2050,0.0647103692374245,0.00678185028698132,0.00678185028698132,"2-6-2050-Glyptocephalus cynoglossus","Benthic fish","RCP 2.6"
"2-6","Glyptocephalus cynoglossus",2075,0.444337619451749,0.000382748743721242,0.0225289941809375,"2-6-2075-Glyptocephalus cynoglossus","Benthic fish","RCP 2.6"
"2-6","Glyptocephalus cynoglossus",2100,0.476972076425685,0.000382748743721242,0.0328252233096453,"2-6-2100-Glyptocephalus cynoglossus","Benthic fish","RCP 2.6"
"2-6","Hippoglossoides platessoides",2025,0.260971152587757,0.000437231594803932,0.00163029280541421,"2-6-2025-Hippoglossoides platessoides","Benthic fish","RCP 2.6"
"2-6","Hippoglossoides platessoides",2050,0.572438544211355,0.0805337011487037,0.527994567803685,"2-6-2050-Hippoglossoides platessoides","Benthic fish","RCP 2.6"
"2-6","Hippoglossoides platessoides",2075,0.706010611068649,0.10195959124757,0.612137218569105,"2-6-2075-Hippoglossoides platessoides","Benthic fish","RCP 2.6"
"2-6","Hippoglossoides platessoides",2100,0.780786845029208,0.141069367489434,0.616514161634773,"2-6-2100-Hippoglossoides platessoides","Benthic fish","RCP 2.6"
"2-6","Hippoglossus hippoglossus",2025,0.424958447453281,0.0322146518991734,0.0493187651599354,"2-6-2025-Hippoglossus hippoglossus","Benthic fish","RCP 2.6"
"2-6","Hippoglossus hippoglossus",2050,0.659035451824993,0.181415869224043,0.620175379909791,"2-6-2050-Hippoglossus hippoglossus","Benthic fish","RCP 2.6"
"2-6","Hippoglossus hippoglossus",2075,0.771288252288856,0.242160619361246,0.677809394273799,"2-6-2075-Hippoglossus hippoglossus","Benthic fish","RCP 2.6"
"2-6","Hippoglossus hippoglossus",2100,0.866068437466261,0.286926028494065,0.689896490057479,"2-6-2100-Hippoglossus hippoglossus","Benthic fish","RCP 2.6"
"2-6","Malacoraja senta",2050,0.589076937165678,0.0641598574782015,0.544218066033993,"2-6-2050-Malacoraja senta","Benthic fish","RCP 2.6"
"2-6","Malacoraja senta",2075,0.712223070657712,0.0890070718028992,0.613605641723826,"2-6-2075-Malacoraja senta","Benthic fish","RCP 2.6"
"2-6","Malacoraja senta",2100,0.778927076754327,0.14668190691076,0.624606398579241,"2-6-2100-Malacoraja senta","Benthic fish","RCP 2.6"
"2-6","Melanogrammus aeglefinus",2075,0.233748880898997,0.0155676749055451,0.0155676749055451,"2-6-2075-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Melanogrammus aeglefinus",2100,0.396918812793669,0.0205228958026107,0.0205228958026107,"2-6-2100-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Pollachius virens",2050,0.425500863258127,0.0287751315028574,0.0287751315028574,"2-6-2050-Pollachius virens","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Pollachius virens",2075,0.587041549967671,0.0184212386986539,0.0717207993225937,"2-6-2075-Pollachius virens","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Pollachius virens",2100,0.61996627122446,0.0204891545639558,0.0857871855237085,"2-6-2100-Pollachius virens","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Sebastes fasciatus",2050,0.72648551253135,0.0198448153266666,0.149367822349326,"2-6-2050-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Sebastes fasciatus",2075,1,0.0285501929438342,0.703484425376901,"2-6-2075-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Sebastes fasciatus",2100,1,0.0601825165502224,0.730563691025921,"2-6-2100-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 2.6"
"8-5","Amblyraja radiata",2025,0.454307127691538,0.0617322272926352,0.0623855869202796,"8-5-2025-Amblyraja radiata","Benthic fish","RCP 8.5"
"8-5","Amblyraja radiata",2050,0.737860624633708,0.314619740215307,0.584856232628044,"8-5-2050-Amblyraja radiata","Benthic fish","RCP 8.5"
"8-5","Amblyraja radiata",2075,1,0.856334295801434,1,"8-5-2075-Amblyraja radiata","Benthic fish","RCP 8.5"
"8-5","Amblyraja radiata",2100,1,1,1,"8-5-2100-Amblyraja radiata","Benthic fish","RCP 8.5"
"8-5","Anarhichas lupus",2025,0.638744422656601,0.275324134604892,0.549385140221721,"8-5-2025-Anarhichas lupus","Benthic fish","RCP 8.5"
"8-5","Anarhichas lupus",2050,0.9887888795448,0.668628481002032,0.812234160092303,"8-5-2050-Anarhichas lupus","Benthic fish","RCP 8.5"
"8-5","Anarhichas lupus",2075,1,1,1,"8-5-2075-Anarhichas lupus","Benthic fish","RCP 8.5"
"8-5","Anarhichas lupus",2100,1,1,1,"8-5-2100-Anarhichas lupus","Benthic fish","RCP 8.5"
"8-5","Brosme brosme",2025,0.16751829511617,0.0116384121644244,0.0116384121644244,"8-5-2025-Brosme brosme","Benthic fish","RCP 8.5"
"8-5","Brosme brosme",2050,0.920120269791112,0.124194422383502,0.585239989559705,"8-5-2050-Brosme brosme","Benthic fish","RCP 8.5"
"8-5","Brosme brosme",2075,1,0.966342198551454,1,"8-5-2075-Brosme brosme","Benthic fish","RCP 8.5"
"8-5","Brosme brosme",2100,1,1,1,"8-5-2100-Brosme brosme","Benthic fish","RCP 8.5"
"8-5","Calanus finmarchicus",2075,0.58962572013733,0.013375982063454,0.455129257092169,"8-5-2075-Calanus finmarchicus","Copepod","RCP 8.5"
"8-5","Calanus finmarchicus",2100,0.916099922296287,0.586834302332169,0.763204111877928,"8-5-2100-Calanus finmarchicus","Copepod","RCP 8.5"
"8-5","Chionoecetes opilio",2025,0.810183264855865,0.668514386699343,0.714248893508693,"8-5-2025-Chionoecetes opilio","Benthic Invertebrates","RCP 8.5"
"8-5","Chionoecetes opilio",2050,1,0.964304362080407,1,"8-5-2050-Chionoecetes opilio","Benthic Invertebrates","RCP 8.5"
"8-5","Chionoecetes opilio",2075,1,1,1,"8-5-2075-Chionoecetes opilio","Benthic Invertebrates","RCP 8.5"
"8-5","Chionoecetes opilio",2100,1,1,1,"8-5-2100-Chionoecetes opilio","Benthic Invertebrates","RCP 8.5"
"8-5","Gadus morhua",2050,0.432421958693659,0.00798723056083151,0.0215585968920789,"8-5-2050-Gadus morhua","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Gadus morhua",2075,0.73224542226729,0.132757751947742,0.65888941711039,"8-5-2075-Gadus morhua","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Gadus morhua",2100,1,0.7858476483095,1,"8-5-2100-Gadus morhua","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Glyptocephalus cynoglossus",2050,0.502040914571465,0.0196850477234547,0.0425204916314177,"8-5-2050-Glyptocephalus cynoglossus","Benthic fish","RCP 8.5"
"8-5","Glyptocephalus cynoglossus",2075,0.742688698615244,0.280939336214706,0.702269314497003,"8-5-2075-Glyptocephalus cynoglossus","Benthic fish","RCP 8.5"
"8-5","Glyptocephalus cynoglossus",2100,1,0.878757618273965,1,"8-5-2100-Glyptocephalus cynoglossus","Benthic fish","RCP 8.5"
"8-5","Hippoglossoides platessoides",2025,0.423324810919074,0.0342111982817291,0.0459423605010355,"8-5-2025-Hippoglossoides platessoides","Benthic fish","RCP 8.5"
"8-5","Hippoglossoides platessoides",2050,0.731249462799564,0.236490733657145,0.60954135004299,"8-5-2050-Hippoglossoides platessoides","Benthic fish","RCP 8.5"
"8-5","Hippoglossoides platessoides",2075,1,0.793187561213794,1,"8-5-2075-Hippoglossoides platessoides","Benthic fish","RCP 8.5"
"8-5","Hippoglossoides platessoides",2100,1,1,1,"8-5-2100-Hippoglossoides platessoides","Benthic fish","RCP 8.5"
"8-5","Hippoglossus hippoglossus",2025,0.563995259295649,0.140231152650944,0.227512440826218,"8-5-2025-Hippoglossus hippoglossus","Benthic fish","RCP 8.5"
"8-5","Hippoglossus hippoglossus",2050,0.825539572871762,0.553875129840965,0.669075635858104,"8-5-2050-Hippoglossus hippoglossus","Benthic fish","RCP 8.5"
"8-5","Hippoglossus hippoglossus",2075,1,0.950691941486413,1,"8-5-2075-Hippoglossus hippoglossus","Benthic fish","RCP 8.5"
"8-5","Hippoglossus hippoglossus",2100,1,1,1,"8-5-2100-Hippoglossus hippoglossus","Benthic fish","RCP 8.5"
"8-5","Leucoraja erinacea",2100,0.270804302853331,0.0349010643420033,0.0349010643420033,"8-5-2100-Leucoraja erinacea","Benthic fish","RCP 8.5"
"8-5","Leucoraja ocellata",2075,0.0543657591443193,0.000620869195597633,0.000620869195597633,"8-5-2075-Leucoraja ocellata","Benthic fish","RCP 8.5"
"8-5","Leucoraja ocellata",2100,0.716248339229834,0.0509404645903788,0.655531424589007,"8-5-2100-Leucoraja ocellata","Benthic fish","RCP 8.5"
"8-5","Malacoraja senta",2025,0.429991850328155,0.0255444607886981,0.0386511003708099,"8-5-2025-Malacoraja senta","Benthic fish","RCP 8.5"
"8-5","Malacoraja senta",2050,0.727393137978847,0.235853561095325,0.619204201255798,"8-5-2050-Malacoraja senta","Benthic fish","RCP 8.5"
"8-5","Malacoraja senta",2075,1,0.805735054328445,1,"8-5-2075-Malacoraja senta","Benthic fish","RCP 8.5"
"8-5","Malacoraja senta",2100,1,1,1,"8-5-2100-Malacoraja senta","Benthic fish","RCP 8.5"
"8-5","Melanogrammus aeglefinus",2050,0.450319938302906,0.0088341195528237,0.0240650728036313,"8-5-2050-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Melanogrammus aeglefinus",2075,0.719920184173754,0.0989872794265531,0.644267243578254,"8-5-2075-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Melanogrammus aeglefinus",2100,1,0.785569560733363,1,"8-5-2100-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Pandalus borealis",2075,0.584211239643217,0.0135656778346115,0.377748454976852,"8-5-2075-Pandalus borealis","Benthic Invertebrates","RCP 8.5"
"8-5","Pandalus borealis",2100,0.880124685837146,0.58321970468443,0.728533683157209,"8-5-2100-Pandalus borealis","Benthic Invertebrates","RCP 8.5"
"8-5","Pollachius virens",2025,0.0378914435175264,0.000439004082799899,0.00120190542862586,"8-5-2025-Pollachius virens","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Pollachius virens",2050,0.626606963476061,0.028053347253356,0.0766996539394023,"8-5-2050-Pollachius virens","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Pollachius virens",2075,0.862895456639992,0.573838613386896,0.756091952178822,"8-5-2075-Pollachius virens","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Pollachius virens",2100,1,1,1,"8-5-2100-Pollachius virens","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Sebastes fasciatus",2025,0.15889445414952,0.000740543024940096,0.000740543024940096,"8-5-2025-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Sebastes fasciatus",2050,1,0.15062666921617,0.700902425456906,"8-5-2050-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Sebastes fasciatus",2075,1,0.999811039534994,1,"8-5-2075-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Sebastes fasciatus",2100,1,1,1,"8-5-2100-Sebastes fasciatus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Urophycis tenuis",2075,0.0603466548897798,0.00606360104349721,0.00606360104349721,"8-5-2075-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Urophycis tenuis",2100,0.697598904376497,0.0834351877534542,0.605026459123973,"8-5-2100-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 8.5"
"2-6","Homarus americanus",2025,NA,NA,0,"2-6-2025-Homarus americanus","Benthic Invertebrates","RCP 2.6"
